buy_order,sell_order,percent_change
"{'orderType': True, 'location': 60006856, 'price': 525.71, 'system': 30000159, 'item': 9850, 'volume': 15479}","{'orderType': False, 'location': 60004465, 'price': 427.7, 'system': 30000201, 'item': 9850, 'volume': 2964}",22.91559504325463
"{'orderType': True, 'location': 60004465, 'price': 375.5, 'system': 30000201, 'item': 43, 'volume': 6239}","{'orderType': False, 'location': 60002437, 'price': 305.5, 'system': 30000153, 'item': 43, 'volume': 6989}",22.913256955810148
"{'orderType': True, 'location': 60002239, 'price': 894.37, 'system': 30000194, 'item': 3687, 'volume': 17836}","{'orderType': False, 'location': 60003763, 'price': 727.74, 'system': 30000140, 'item': 3687, 'volume': 84}",22.896913732926592
"{'orderType': True, 'location': 60003760, 'price': 21.37, 'system': 30000142, 'item': 17463, 'volume': 1338561}","{'orderType': False, 'location': 60001633, 'price': 17.41, 'system': 30000151, 'item': 17463, 'volume': 62}",22.74554853532453
"{'orderType': True, 'location': 60003763, 'price': 1091000.0, 'system': 30000140, 'item': 11229, 'volume': 56}","{'orderType': False, 'location': 60003043, 'price': 900000.0, 'system': 30000163, 'item': 11229, 'volume': 3}",21.22222222222222
"{'orderType': True, 'location': 60003760, 'price': 664.8, 'system': 30000142, 'item': 2389, 'volume': 437341}","{'orderType': False, 'location': 60003172, 'price': 550.0, 'system': 30000200, 'item': 2389, 'volume': 3740}",20.872727272727264
"{'orderType': True, 'location': 60001798, 'price': 714.55, 'system': 30000196, 'item': 3773, 'volume': 68658}","{'orderType': False, 'location': 60004081, 'price': 592.2, 'system': 30000162, 'item': 3773, 'volume': 619}",20.660249915569047
"{'orderType': True, 'location': 60003760, 'price': 6002.0, 'system': 30000142, 'item': 19660, 'volume': 3083}","{'orderType': False, 'location': 60010816, 'price': 5002.0, 'system': 30000193, 'item': 19660, 'volume': 1}",19.99200319872051
"{'orderType': True, 'location': 60003760, 'price': 412800.0, 'system': 30000142, 'item': 5755, 'volume': 351}","{'orderType': False, 'location': 60004237, 'price': 350000.0, 'system': 30000129, 'item': 5755, 'volume': 1}",17.942857142857143
"{'orderType': True, 'location': 60000307, 'price': 389900.0, 'system': 30000189, 'item': 21815, 'volume': 1}","{'orderType': False, 'location': 60003061, 'price': 335800.0, 'system': 30000120, 'item': 21815, 'volume': 5}",16.110780226325193
"{'orderType': True, 'location': 60003760, 'price': 25420.0, 'system': 30000142, 'item': 11129, 'volume': 457165}","{'orderType': False, 'location': 60002848, 'price': 22000.0, 'system': 30000177, 'item': 11129, 'volume': 6}",15.545454545454545
"{'orderType': True, 'location': 60003760, 'price': 1500000.0, 'system': 30000142, 'item': 41055, 'volume': 247}","{'orderType': False, 'location': 60004237, 'price': 1300000.0, 'system': 30000129, 'item': 41055, 'volume': 1}",15.384615384615385
"{'orderType': True, 'location': 1042508032148, 'price': 404.8, 'system': 30000144, 'item': 25597, 'volume': 3079}","{'orderType': False, 'location': 60002437, 'price': 351.1, 'system': 30000153, 'item': 25597, 'volume': 19}",15.294787809740809
"{'orderType': True, 'location': 60001798, 'price': 4.12, 'system': 30000196, 'item': 34, 'volume': 4033}","{'orderType': False, 'location': 60000295, 'price': 3.58, 'system': 30000130, 'item': 34, 'volume': 1755}",15.083798882681565
"{'orderType': True, 'location': 60003760, 'price': 12650.0, 'system': 30000142, 'item': 9830, 'volume': 10000}","{'orderType': False, 'location': 60003676, 'price': 11000.0, 'system': 30000149, 'item': 9830, 'volume': 260}",15.0
"{'orderType': True, 'location': 60003760, 'price': 114900.0, 'system': 30000142, 'item': 32006, 'volume': 1250}","{'orderType': False, 'location': 60012667, 'price': 100100.0, 'system': 30000180, 'item': 32006, 'volume': 2}",14.785214785214784
